Majority.protein.IDs	Intensity_100fmolR1	Intensity_100fmolR2	Intensity_100fmolR3	Intensity_10fmolR1	Intensity_10fmolR2	Intensity_10fmolR3	organism	Protein.names	Gene.names	Peptides	Razor...unique.peptides	Unique.peptides	id
O00762ups	28.8667	28.7766	28.8845	24.8422	25.2479	25.1907	human	O00762ups		8	8	8	0
O76070ups	28.8203	28.739	28.6872	23.2876	24.1308	24.5676	human	O76070ups		11	11	11	1
P00167ups	27.9816	28.0743	28.0403	23.1236	23.9715	24.4595	human	P00167ups		6	6	6	2
P00441ups	26.968	26.8834	26.8674	23.4122	23.7301	23.4626	human	P00441ups		4	4	4	3
P00709ups	27.4552	27.3354	27.3499	21.7641	23.7893	23.3969	human	P00709ups		5	5	5	4
P00915ups	28.0326	28.0429	28.0231	21.2527	23.3964	23.9877	human	P00915ups		10	10	10	5
P00918ups	28.3937	28.412	28.3779	22.5818	24.5419	24.0277	human	P00918ups		8	8	8	6
P01008ups	29.1159	29.123	29.0756	NA	25.0493	24.7805	human	P01008ups		20	20	20	7
P01031ups	26.5016	26.5281	26.5111	NA	22.4566	22.9616	human	P01031ups		4	4	4	8
P01112ups	27.465	27.5238	27.4387	21.5555	22.7314	22.9013	human	P01112ups		7	7	7	9
P01127ups	27.3873	27.4002	27.4096	NA	22.0475	23.1138	human	P01127ups		7	7	7	10
P01133ups	25.1587	25.2042	25.0291	NA	21.6211	21.7222	human	P01133ups		1	1	1	11
P01344ups	27.807	27.7982	27.8517	23.8475	23.8826	23.8022	human	P01344ups		3	3	3	12
P01375ups	28.6263	28.6884	28.7231	23.716	24.9289	24.9821	human	P01375ups		6	6	6	13
P01579ups	27.6903	27.6755	27.6538	23.7437	23.8302	24.0151	human	P01579ups		5	5	5	14
P02144ups	27.8425	27.795	27.8398	22.9726	23.8964	23.1187	human	P02144ups		7	7	7	15
P02741ups	26.3438	26.8566	26.8783	NA	22.0655	21.5411	human	P02741ups		5	5	5	16
P02753ups	26.3247	26.3618	26.565	22.5001	22.6416	22.8349	human	P02753ups		4	4	4	17
"CON__P02768-1;P02768ups"	30.2019	30.2068	30.2079	24.8284	26.3482	26.3397	human	"CON__P02768-1;P02768ups"		34	34	34	18
P02787ups	29.4807	29.4494	29.4847	23.3184	25.2661	25.7282	human	P02787ups		29	29	28	19
P02788ups	30.3349	30.2676	30.1777	25.0331	26.3919	26.4029	human	P02788ups		38	38	37	20
P04040ups	29.9885	30.0018	30.1248	23.6125	26.1615	26.1787	human	P04040ups		25	25	25	21
P05413ups	27.8382	27.8473	27.844	22.4539	23.5815	22.8394	human	P05413ups		8	8	8	22
P06396ups	29.7061	29.74	29.6917	22.8767	25.6154	25.584	human	P06396ups		23	23	23	23
P06732ups	29.2302	29.2289	29.1732	23.308	25.107	24.9993	human	P06732ups		18	18	18	24
P08263ups	26.3521	26.3449	27.2231	NA	24.3677	24.4043	human	P08263ups		7	7	7	25
P08758ups	29.204	29.2368	29.1277	NA	25.6484	25.6047	human	P08758ups		16	16	16	26
P09211ups	26.5926	26.6828	26.597	NA	22.2141	21.5076	human	P09211ups		5	5	5	27
P10145ups	26.8441	26.907	26.9203	NA	21.6771	23.202	human	P10145ups		3	3	3	28
P10599ups	26.0465	25.9657	25.9326	NA	22.4415	22.7326	human	P10599ups		2	2	2	29
P10636-8ups	29.5982	29.5908	29.5442	25.5836	26.0134	25.8315	human	P10636-8ups		16	16	16	30
P12081ups	29.2102	29.106	29.0693	23.7674	25.0161	24.73	human	P12081ups		23	23	22	31
P15559ups	27.9319	27.8355	27.8067	21.9268	23.4994	23.529	human	P15559ups		7	7	7	32
